x,y,g,obs,alt,chosen,a1,a2,a3,x1,x2,x3,a1_x1,a1_x2,a1_x3,a2_x1,a2_x2,a2_x3,a3_x1,a3_x2,a3_x3,IN1_indic
1,1,2,30,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,1,2,30,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2,30,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1,1,2,31,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,1,2,31,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2,31,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2,2,2,32,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,32,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,32,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,2,33,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,33,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,33,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2,2,2,34,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,34,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,34,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,2,35,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,35,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,35,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3,3,2,36,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3,2,36,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,3,2,36,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,2,2,37,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,37,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,37,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,2,2,38,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,2,2,38,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,2,2,38,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
1,2,2,39,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,39,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,39,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3,3,2,40,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3,2,40,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,3,2,40,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,1,2,41,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,2,41,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,1,2,41,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,2,42,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,1,2,42,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2,42,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1,1,2,43,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,1,2,43,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2,43,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3,3,2,44,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3,2,44,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,3,2,44,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,1,2,45,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,2,45,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,1,2,45,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,2,46,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,46,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,46,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1,3,2,47,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,3,2,47,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,3,2,47,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2,2,2,48,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,48,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,48,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,3,2,49,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3,2,49,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,3,2,49,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,3,2,50,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,3,2,50,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,3,2,50,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,3,2,51,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,3,2,51,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,3,2,51,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,2,52,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,52,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,52,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3,3,2,53,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3,2,53,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,3,2,53,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,2,2,54,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,54,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,54,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,2,55,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,1,2,55,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2,55,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1,3,2,56,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,3,2,56,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,3,2,56,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3,3,2,57,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3,2,57,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,3,2,57,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3,1,2,58,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,1,2,58,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,1,2,58,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3,2,2,59,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,2,2,59,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,2,2,59,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,1,2,60,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,2,60,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,1,2,60,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,2,2,61,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,61,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,61,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,3,2,62,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3,2,62,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,3,2,62,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3,2,2,63,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,2,2,63,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,2,2,63,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3,3,2,64,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3,2,64,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,3,2,64,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3,2,2,65,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,2,2,65,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,2,2,65,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
1,3,2,66,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,3,2,66,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,3,2,66,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2,1,2,67,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,2,67,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,1,2,67,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,2,2,68,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,68,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,68,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,2,69,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,1,2,69,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2,69,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1,2,2,70,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,70,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,70,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3,2,2,71,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,2,2,71,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,2,2,71,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,2,2,72,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,72,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,72,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,2,73,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,73,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,73,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2,2,2,74,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,74,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,74,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,2,2,75,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,75,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,75,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,3,2,76,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,3,2,76,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,3,2,76,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,3,2,77,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3,2,77,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,3,2,77,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
1,2,2,78,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,78,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,78,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2,1,2,79,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,2,79,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,1,2,79,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,2,80,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,80,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,80,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3,1,2,81,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,1,2,81,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,1,2,81,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,1,2,82,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,2,82,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,1,2,82,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,1,2,83,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,1,2,83,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,1,2,83,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,2,2,84,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,84,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,84,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,1,2,85,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,2,85,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,1,2,85,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,1,2,86,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,2,86,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,1,2,86,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,2,87,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,87,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,87,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3,1,2,88,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,1,2,88,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,1,2,88,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,1,2,89,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,2,89,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,1,2,89,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,2,2,90,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,2,2,90,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,2,2,90,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,2,2,91,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,91,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,91,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,3,2,92,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,3,2,92,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,3,2,92,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,3,2,93,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3,2,93,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,3,2,93,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,2,2,94,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,94,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,94,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,2,95,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,1,2,95,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2,95,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1,3,2,96,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,3,2,96,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,3,2,96,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3,3,2,97,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3,2,97,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,3,2,97,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,2,98,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,1,2,98,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2,98,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3,2,2,99,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,2,2,99,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,2,2,99,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,3,2,100,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,3,2,100,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,3,2,100,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,2,101,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,101,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,101,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2,1,2,102,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,1,2,102,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,1,2,102,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,2,2,103,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,2,2,103,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,2,2,103,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2,2,2,104,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,2,104,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,2,2,104,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,3,2,105,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
